Process 15 has a final best fitness of 0.710519.
Process 5 has a final best fitness of 0.710519.
Process 13 has a final best fitness of 0.710519.
Process 7 has a final best fitness of 0.710519.
Process 19 has a final best fitness of 0.710519.
Process 21 has a final best fitness of 0.710519.
Process 29 has a final best fitness of 0.710519.
Process 115 has a final best fitness of 0.710519.
Process 25 has a final best fitness of 0.710519.
Process 3 has a final best fitness of 0.710519.
Process 27 has a final best fitness of 0.710519.
Process 111 has a final best fitness of 0.710519.
Process 127 has a final best fitness of 0.710519.
Process 125 has a final best fitness of 0.710519.
Process 113 has a final best fitness of 0.710519.
Process 23 has a final best fitness of 0.710519.
Process 1 has a final best fitness of 0.710519.
Process 109 has a final best fitness of 0.710519.
Process 9 has a final best fitness of 0.710519.
Process 119 has a final best fitness of 0.710519.
Process 121 has a final best fitness of 0.710519.
Process 105 has a final best fitness of 0.710519.
Process 117 has a final best fitness of 0.710519.
Process 67 has a final best fitness of 0.710519.
Process 11 has a final best fitness of 0.710519.
Process 55 has a final best fitness of 0.710519.
Process 69 has a final best fitness of 0.710519.
Process 77 has a final best fitness of 0.710519.
Process 79 has a final best fitness of 0.710519.
Process 73 has a final best fitness of 0.710519.
Process 65 has a final best fitness of 0.710519.
Process 75 has a final best fitness of 0.710519.
Process 57 has a final best fitness of 0.710519.
Process 59 has a final best fitness of 0.710519.
Process 61 has a final best fitness of 0.710519.
Process 63 has a final best fitness of 0.710519.
Process 14 has a final best fitness of 0.710519.
Process 71 has a final best fitness of 0.710519.
Process 12 has a final best fitness of 0.710519.
Process 123 has a final best fitness of 0.710519.
Process 4 has a final best fitness of 0.710519.
Process 6 has a final best fitness of 0.710519.
Process 18 has a final best fitness of 0.710519.
Process 10 has a final best fitness of 0.710519.
Process 114 has a final best fitness of 0.710519.
Process 110 has a final best fitness of 0.710519.
Process 24 has a final best fitness of 0.710519.
Process 26 has a final best fitness of 0.710519.
Process 47 has a final best fitness of 0.710519.
Process 45 has a final best fitness of 0.710519.
Process 20 has a final best fitness of 0.710519.
Process 124 has a final best fitness of 0.710519.
Process 93 has a final best fitness of 0.710519.
Process 22 has a final best fitness of 0.710519.
Process 39 has a final best fitness of 0.710519.
Process 112 has a final best fitness of 0.710519.
Process 28 has a final best fitness of 0.710519.
Process 120 has a final best fitness of 0.710519.
Process 33 has a final best fitness of 0.710519.
Process 2 has a final best fitness of 0.710519.
Process 126 has a final best fitness of 0.710519.
Process 118 has a final best fitness of 0.710519.
Process 37 has a final best fitness of 0.710519.
Process 35 has a final best fitness of 0.710519.
Process 49 has a final best fitness of 0.710519.
Process 89 has a final best fitness of 0.710519.
Process 108 has a final best fitness of 0.710519.
Process 51 has a final best fitness of 0.710519.
Process 95 has a final best fitness of 0.710519.
Process 87 has a final best fitness of 0.710519.
Process 102 has a final best fitness of 0.710519.
Process 43 has a final best fitness of 0.710519.
Process 16 has a final best fitness of 0.710519.
Process 81 has a final best fitness of 0.710519.
Process 85 has a final best fitness of 0.710519.
Process 53 has a final best fitness of 0.710519.
Process 104 has a final best fitness of 0.710519.
Process 101 has a final best fitness of 0.710519.
Process 8 has a final best fitness of 0.710519.
Process 74 has a final best fitness of 0.710519.
Process 66 has a final best fitness of 0.710519.
Process 99 has a final best fitness of 0.710519.
Process 83 has a final best fitness of 0.710519.
Process 76 has a final best fitness of 0.710519.
Process 64 has a final best fitness of 0.710519.
Process 60 has a final best fitness of 0.710519.
Process 68 has a final best fitness of 0.710519.
Process 72 has a final best fitness of 0.710519.
Process 78 has a final best fitness of 0.710519.
Process 58 has a final best fitness of 0.710519.
Process 70 has a final best fitness of 0.710519.
Process 62 has a final best fitness of 0.710519.
Process 116 has a final best fitness of 0.710519.
Process 56 has a final best fitness of 0.710519.
Process 0 has a final best fitness of 0.710519.
Process 54 has a final best fitness of 0.710519.
Process 91 has a final best fitness of 0.710519.
Process 44 has a final best fitness of 0.710519.
Process 36 has a final best fitness of 0.710519.
Process 34 has a final best fitness of 0.710519.
Process 46 has a final best fitness of 0.710519.
Process 122 has a final best fitness of 0.710519.
Process 32 has a final best fitness of 0.710519.
Process 38 has a final best fitness of 0.710519.
Process 50 has a final best fitness of 0.710519.
Process 52 has a final best fitness of 0.710519.
Process 42 has a final best fitness of 0.710519.
Process 40 has a final best fitness of 0.710519.
Process 97 has a final best fitness of 0.710519.
Process 48 has a final best fitness of 0.710519.
Process 92 has a final best fitness of 0.710519.
Process 94 has a final best fitness of 0.710519.
Process 107 has a final best fitness of 0.710519.
Process 86 has a final best fitness of 0.710519.
Process 88 has a final best fitness of 0.710519.
Process 103 has a final best fitness of 0.710519.
Process 82 has a final best fitness of 0.710519.
Process 98 has a final best fitness of 0.710519.
Process 80 has a final best fitness of 0.710519.
Process 84 has a final best fitness of 0.710519.
Process 100 has a final best fitness of 0.710519.
Process 90 has a final best fitness of 0.710519.
Process 17 has a final best fitness of 0.710519.
Process 96 has a final best fitness of 0.710519.
Process 106 has a final best fitness of 0.710519.
Process 41 has a final best fitness of 0.710519.
Process 31 has a final best fitness of 0.710519.
Process 30 has a final best fitness of 0.710519.
Fitness of the best route found is 0.710519.
The best route found is 15,18,13,8,10,14,0,12,17,3,2,5,7,16,9,4,19,1,11,6.
